,,,,,,,Lesson,Day,Time,Type,Group code
Lesson,Date,Time,Durtaion,Group No,Notes,,Digital Creativity,Sunday,6:00 PM,Group,Online171_SUN-6
Digital Creativity M1L3,18/02/2022,6:00 PM,1h,,Subsititute,,Digital Creativity,Saturday,2:00 PM,Individual,
Digital Creativity M6L2,20/02/2022,6:00 PM,1.5h,,,,3D Modeling,Wednesday,6:00 PM,Group,656_WED-6
3D Modelling M1L1,23/02/2022,6:00 PM,1.5h,,,,3D Modeling,Friday,6:00 PM,Group,679_FRI-6
Digital Creativity M1L3,24/02/2022,6:00 PM,1h,,Subsititute,,Digital Creativity,Sunday,4:00 PM,Group,Online773_SUN-4
3D Modelling M1L1,25/02/2022,6:00 PM,1.5h,,,,,,,,
Digital Creativity M6L3,27/02/2022,6:00 PM,1.5h,,,,,,,,
3D Modelling M1L2,02/03/2022,6:00 PM,1.5h,Online656_WED-6,,,,,,,
3D Modelling M1L2,04/03/2022,6:00 PM,1.5h,Online679_FRI-6,,Digital Creativity M1L3,06/03/2022,6:00 PM,1.5h,,
Digital Creativity M6L4,06/03/2022,6:00 PM,1.5h,Online171_SUN-6,,,,,,,
3D Modelling M1L3,09/03/2022,6:00 PM,1.5h,Online656_WED-6,,,,,,,
3D Modelling M1L3,11/03/2022,6:00 PM,1.5h,Online679_FRI-6,,,,,,,
Digital Creativity M1L1,13/03/2022,6:00 PM,1.5h,Online773_SUN-4,,,,,,,
Digital Creativity M7L1,13/03/2022,6:00 PM,1.5h,Online171_SUN-6,,,27 - 1.5,,,,
3D Modelling M1L4,16/03/2022,6:00 PM,1.5h,Online656_WED-6,,,18 - 1h,,,,
3D Modelling M1L4,18/03/2022,6:00 PM,1.5h,Online679_FRI-6,,,16 - 1h  ind,,,,
Digital Creativity M1L2,20/03/2022,4:00 PM,1h,Online773_SUN-4,,,,,,,
Digital Creativity M7L2,20/03/2022,6:00 PM,1.5h,Online171_SUN-6,,,,,,,
3D Modelling M2L1,23/03/2022,6:00 PM,1.5h,Online656_WED-6,,,,,,,
3D Modelling M1L1,24/03/2022,7:00 PM,1h,ENGind-74_THU-7,individual,,,,,,
3D Modelling M2L1,25/03/2022,6:00 PM,1.5h,Online679_FRI-6,,,,,,,
Digital Creativity M1L3,27/03/2022,4:00 PM,1h,Online773_SUN-4,,,,,,,
Digital Creativity M7L3,27/03/2022,6:00 PM,1.5h,Online171_SUN-6,,,,,,,
3D Modelling M2L2,30/03/2022,6:00 PM,1.5h,Online656_WED-6,,,,,,,
3D Modelling M1L2,31/03/2022,7:00 PM,1h,ENGind-74_THU-7,individual,,,,,,
3D Modelling M2L2,01/04/2022,6:00 PM,1.5h,Online679_FRI-6,,,,,,,
Digital Creativity M1L4,03/04/2022,4:00 PM,1h,Online773_SUN-4,,,,,,,
Digital Creativity M7L4,03/04/2022,6:00 PM,1.5h,Online171_SUN-6,,,,,,,
3D Modelling M2L3,06/04/2022,6:00 PM,1.5h,Online656_WED-6,,,,,,,
3D M1L3,07/04/2022,7:00 PM,1h,ENGind-74_THU-7,,,,,,,
3D M2L3,08/04/2022,6:00 PM,1.5h,Online679_FRI-6,,,,,,,
3D M4L3,09/04/2022,4:00 PM,1.5h,Online469_SAT-4,,,,,,,
Digital Creativity M2L1,10/04/2022,4:00 PM,1h,Online773_SUN-4,,,,,,,
Digital Creativity M8L1,10/04/2022,6:00 PM,1.5h,Online171_SUN-6,,,,,,,
3D M2L4,13/04/2022,6:00 PM,1.5h,Online656_WED-6,,,,,,,
3D M1L4,14/04/2022,7:00 PM,1h,ENGind-74_THU-7,,,,,,,
3D M2L4,15/04/2022,6:00 PM,1.5h,Online679_FRI-6,,,,,,,
3D M4L4,16/04/2022,4:00 PM,1.5h,Online469_SAT-4,,,,,,,
3D M3L1,20/04/2022,6:00 PM,1.5h,Online656_WED-6,,,,,,,
3D M2L1,21/04/2022,7:00 PM,1h,ENGind-74_THU-7,,,,,,,
3D M3L1,22/04/2022,6:00 PM,1.5h,Online679_FRI-6,,,,,,,
DC M8L2,24/04/2022,6:00 PM,1.5h,Online171_SUN-6,,,,,,,
3D M3L2,27/04/2022,6:00 PM,1.5h,Online656_WED-6,,,,,,,
3D M2L2,28/04/2022,7:00 PM,1h,ENGind-74_THU-7,,,,,,,
3D M3L2,29/04/2022,6:00 PM,1.5h,Online679_FRI-6,,,,,,,
DC M8L3,01/05/2022,6:00 PM,1.5h,Online171_SUN-6,,,,,,,
3D M3L3,04/05/2022,6:00 PM,1.5H,Online656_WED-6,,,,,,,
3D M2L3,05/05/2022,7:00 PM,1H,ENGind-74_THU-7,individual,,,,,,
3D M3L3,06/05/2022,6:00 PM,1.5H,Online679_FRI-6,,,,,,,
DC M8L4,08/05/2022,6:00 PM,1.5H,Online171_SUN-6,,,,,,,
3D M3L4,11/05/2022,6:00 PM,1.5H,Online656_WED-6,,,,,,,
3D M2L4,12/05/2022,7:00 PM,1H,ENGind-74_THU-7,individual,,,,,,
3D M3L4,13/05/2022,6:00 PM,1.5H,Online679_FRI-6,,,,,,,
3D M4L1,18/05/2022,6:00 PM,1.5H,Online656_WED-6,,,,,,,
3D M3L1,19/05/2022,7:00 PM,1H,ENGind-74_THU-7,,,,,,,
3D M4L1,20/05/2022,6:00 PM,1.5H,Online679_FRI-6,,,,,,,
3D M4L2,25/05/2022,6:00 PM,1.5H,Online656_WED-6,,,,,,,
3D M3L2,26/05/2022,7:00 PM,1H,ENGind-74_THU-7,individual,,,,,,
3D M4L2,27/05/2022,6:00 PM,1.5H,Online679_FRI-6,,,,,,,
